satisfaction_level,left,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,Department,salary
0.14,0,0.43,2,238,3,0,0,hr,low
0.1,1,0.55,2,247,4,0,0,sales,medium
0.1,1,0.55,2,247,4,0,0,sales,medium
0.1,1,0.55,2,247,4,0,0,sales,medium
0.21,0,0.43,2,249,3,0,0,marketing,low
0.12,0,0.47,3,258,5,0,0,sales,medium
0.14,0,0.46,2,267,6,1,0,support,low
0.21,0,0.4,3,262,3,0,0,support,low
0.18,0,0.49,3,240,2,1,0,marketing,low
0.18,0,0.49,3,240,2,1,0,marketing,low
0.15,0,0.4,3,236,5,0,0,hr,medium
0.15,0,0.55,3,255,3,1,0,product_mng,medium
0.13,0,0.48,3,210,3,0,0,sales,high
0.15,0,0.44,3,199,2,0,0,management,low
0.12,0,0.58,3,241,2,0,0,technical,low
0.21,0,0.38,3,275,5,0,0,support,low
0.21,0,0.49,3,253,3,0,0,hr,low
0.17,0,0.4,4,286,3,0,0,support,low
0.15,0,0.37,2,167,3,0,0,sales,low
0.23,0,0.37,3,247,4,0,0,hr,medium
0.16,0,0.42,3,182,3,1,0,product_mng,low
0.16,0,0.42,3,182,3,1,0,product_mng,low
0.26,0,0.51,2,284,2,0,0,technical,low
0.15,0,0.42,4,238,3,0,0,sales,medium
0.16,0,0.51,3,262,6,0,0,sales,low
0.26,0,0.37,2,232,3,1,0,hr,low
0.26,1,0.46,2,242,3,0,0,technical,low
0.18,0,0.52,3,213,4,0,0,support,high
0.17,0,0.41,4,232,3,1,0,RandD,medium
0.12,0,0.6,2,194,4,0,0,technical,medium
0.19,0,0.61,3,272,4,0,0,sales,low
0.18,0,0.46,4,249,4,0,0,technical,low
0.17,0,0.49,4,286,5,1,0,sales,low
0.21,0,0.42,4,269,4,1,0,RandD,medium
0.22,0,0.58,2,255,5,0,0,sales,medium
0.18,0,0.48,4,240,4,0,0,sales,medium
0.21,0,0.53,3,229,5,0,0,accounting,medium
0.13,0,0.62,3,264,6,0,0,accounting,low
0.18,0,0.39,2,177,6,0,0,sales,medium
0.17,0,0.61,3,241,5,1,0,technical,low
0.26,0,0.47,3,241,4,0,0,sales,low
0.12,0,0.59,3,229,6,0,0,technical,medium
0.2,0,0.51,2,163,2,0,0,product_mng,low
0.2,0,0.42,4,256,5,0,0,hr,low
0.2,0,0.42,4,256,5,0,0,hr,low
0.27,0,0.45,3,239,4,0,0,technical,low
0.13,0,0.65,2,209,5,0,0,accounting,low
0.25,0,0.45,3,228,5,0,0,accounting,medium
0.2,0,0.56,3,217,5,0,0,hr,medium
0.31,0,0.41,2,263,3,0,0,management,medium
0.27,1,0.56,3,301,3,0,0,support,low
0.27,1,0.56,3,301,3,0,0,support,low
0.27,1,0.56,3,301,3,0,0,support,low
0.2,0,0.47,4,230,4,0,0,RandD,high
0.19,0,0.36,3,167,5,0,0,sales,low
0.19,0,0.36,3,167,5,0,0,sales,low
0.29,1,0.48,2,249,4,0,0,IT,medium
0.14,0,0.51,4,253,6,0,0,RandD,medium
0.17,0,0.5,4,274,6,0,0,sales,medium
0.15,0,0.52,4,265,6,0,0,support,low
0.18,0,0.64,3,223,4,1,0,sales,low
0.11,1,0.55,2,137,3,1,0,RandD,low
0.15,0,0.52,4,207,4,0,0,product_mng,medium
0.15,1,0.62,4,257,3,0,0,hr,low
0.17,0,0.5,4,267,6,0,0,support,high
0.14,1,0.47,4,175,2,0,0,RandD,medium
0.22,0,0.53,4,244,2,0,0,support,medium
0.17,0,0.59,3,197,5,0,0,IT,low
0.22,0,0.55,4,261,3,1,0,sales,medium
0.14,0,0.58,3,179,5,0,0,support,low
0.14,0,0.58,3,179,5,0,0,support,low
0.2,0,0.58,3,209,5,0,0,hr,medium
0.23,0,0.46,4,274,5,1,0,hr,medium
0.23,0,0.47,4,277,5,0,0,RandD,medium
0.24,0,0.5,4,282,4,1,0,support,low
0.24,0,0.5,4,282,4,1,0,support,low
0.12,0,0.49,4,191,5,0,0,IT,low
0.12,0,0.49,4,191,5,0,0,IT,low
0.13,0,0.6,3,178,5,0,0,support,low
0.13,0,0.72,3,244,4,0,0,technical,medium
0.17,0,0.45,2,119,3,0,0,sales,medium
0.15,0,0.53,4,205,5,1,0,sales,low
0.13,0,0.58,4,203,4,0,0,technical,low
0.2,0,0.57,4,269,5,1,0,IT,low
0.17,0,0.55,4,194,3,0,0,product_mng,low
0.17,0,0.55,4,194,3,0,0,product_mng,low
0.22,0,0.49,4,218,4,0,0,marketing,low
0.15,0,0.56,4,214,5,0,0,sales,high
0.14,0,0.52,4,217,6,0,0,sales,low
0.15,0,0.67,4,264,3,0,0,IT,low
0.12,0,0.42,3,110,2,0,0,accounting,medium
0.13,0,0.5,3,137,5,0,0,RandD,low
0.13,0,0.5,3,137,5,0,0,RandD,low
0.1,1,0.68,3,179,3,0,0,IT,medium
0.14,0,0.57,4,207,5,0,0,sales,low
0.26,0,0.45,2,157,3,0,0,accounting,medium
0.17,0,0.52,4,184,4,0,0,sales,low
0.23,0,0.64,3,228,4,1,0,technical,medium
0.13,0,0.43,4,165,5,0,0,sales,low
0.12,0,0.5,5,287,4,0,0,technical,low
0.18,0,0.48,4,176,4,1,0,sales,low
0.25,0,0.65,3,264,4,0,0,management,low
0.13,0,0.67,3,181,4,0,0,technical,low
0.28,0,0.46,4,260,2,0,0,accounting,medium
0.3,1,0.56,3,309,4,1,0,technical,low
0.16,1,0.65,4,277,5,0,0,accounting,medium
0.21,0,0.62,4,247,3,1,0,product_mng,low
0.21,0,0.61,3,173,2,0,0,RandD,low
0.22,0,0.64,3,193,2,0,0,technical,low
0.24,0,0.5,4,209,3,0,0,sales,medium
0.12,0,0.7,4,276,4,0,0,sales,low
0.25,1,0.46,4,214,4,0,0,technical,medium
0.25,1,0.46,4,214,4,0,0,technical,medium
0.25,1,0.46,4,214,4,0,0,technical,medium
0.21,0,0.39,2,118,4,0,0,sales,medium
0.22,0,0.44,3,166,6,0,0,hr,low
0.18,0,0.62,3,165,4,0,0,technical,medium
0.22,0,0.62,3,180,3,0,0,support,low
0.22,0,0.62,3,180,3,0,0,support,low
0.3,0,0.39,3,193,3,1,0,IT,low
0.18,0,0.5,4,169,4,0,0,sales,low
0.15,0,0.39,5,229,4,0,0,sales,low
0.18,0,0.75,3,250,3,0,0,technical,medium
0.16,0,0.72,3,203,3,0,0,sales,medium
0.16,0,0.72,3,203,3,0,0,sales,medium
0.21,0,0.55,4,189,2,0,0,technical,low
0.26,0,0.43,4,215,4,1,0,support,low
0.14,0,0.68,4,273,5,1,0,hr,medium
0.24,0,0.54,4,226,4,1,0,accounting,medium
0.21,0,0.65,3,183,3,0,0,technical,low
0.14,0,0.54,5,275,4,1,0,sales,high
