satisfaction_level,left,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,Department,salary
0.11,1,0.85,6,308,5,0,0,sales,medium
0.11,1,0.85,6,308,5,0,0,sales,medium
0.11,1,0.85,6,308,5,0,0,sales,medium
0.37,0,0.82,3,199,5,0,0,management,medium
0.46,1,0.48,2,141,3,1,0,sales,low
0.46,1,0.48,2,141,3,1,0,sales,low
0.46,1,0.48,2,141,3,1,0,sales,low
0.48,0,0.51,3,201,2,1,0,support,low
0.42,1,0.75,3,218,4,0,0,management,medium
0.42,1,0.75,3,218,4,0,0,management,medium
0.38,0,0.77,3,173,5,0,0,support,medium
0.45,1,0.54,2,138,3,0,0,technical,medium
0.11,1,0.86,6,273,4,1,0,support,low
0.46,1,0.52,2,148,3,0,0,RandD,low
0.33,0,0.4,6,214,6,0,0,marketing,medium
0.21,0,0.77,6,215,4,0,0,sales,medium
0.45,1,0.56,2,143,3,0,0,product_mng,low
0.45,1,0.55,2,140,3,0,0,hr,low
0.45,1,0.55,2,140,3,0,0,hr,low
0.45,1,0.55,2,140,3,0,0,hr,low
0.1,1,0.86,6,266,4,1,0,technical,low
0.44,0,0.65,3,175,2,0,0,IT,low
0.44,0,0.65,3,175,2,0,0,IT,low
0.44,1,0.57,2,131,3,0,0,sales,low
0.44,0,0.46,3,121,3,0,0,technical,medium
0.32,0,0.86,4,214,5,0,0,sales,medium
0.32,0,0.86,4,214,5,0,0,sales,medium
0.1,1,0.87,6,307,4,0,0,product_mng,high
0.1,1,0.87,6,306,4,0,0,support,medium
0.42,0,0.56,2,103,3,1,0,marketing,medium
0.19,0,0.93,3,110,4,0,0,technical,medium
0.39,0,0.86,3,261,2,0,0,accounting,low
0.32,0,0.79,4,136,3,0,0,product_mng,medium
0.28,0,0.92,3,151,3,0,0,sales,low
0.31,1,0.87,4,184,3,0,0,technical,low
0.31,1,0.87,4,184,3,0,0,technical,low
0.47,1,0.5,4,254,4,0,0,sales,low
0.47,1,0.5,4,254,4,0,0,sales,low
0.47,1,0.5,4,254,4,0,0,sales,low
0.44,1,0.56,2,127,3,0,0,IT,low
0.36,0,0.71,3,100,3,0,0,technical,medium
0.11,1,0.87,6,306,4,0,0,IT,low
0.11,1,0.87,6,306,4,0,0,IT,low
0.11,1,0.87,6,306,4,0,0,IT,low
0.24,0,0.89,5,228,4,1,0,support,high
0.11,1,0.87,6,305,4,0,0,marketing,low
0.11,1,0.87,6,305,4,0,0,marketing,low
0.11,1,0.87,6,305,4,0,0,marketing,low
0.1,1,0.87,6,290,4,0,0,support,low
0.1,1,0.87,6,290,4,0,0,support,low
0.1,1,0.87,6,290,4,0,0,support,low
0.11,1,0.87,6,301,4,0,0,accounting,low
0.46,1,0.5,2,141,3,0,0,sales,low
0.45,1,0.54,2,135,3,0,0,sales,low
