satisfaction_level,left,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,Department,salary
0.67,0,0.7,3,149,3,0,0,support,low
0.67,0,0.7,3,149,3,0,0,support,low
0.71,0,0.5,4,253,3,0,0,RandD,medium
0.68,0,0.54,4,153,3,0,0,product_mng,medium
0.71,0,0.63,3,249,3,0,0,IT,low
0.65,1,0.86,2,181,2,0,0,support,low
0.71,0,0.57,3,207,3,0,0,marketing,medium
0.65,0,0.53,5,142,3,0,0,product_mng,medium
0.63,0,0.84,4,181,3,0,0,technical,medium
0.69,0,0.61,2,141,3,0,0,technical,medium
0.69,0,0.54,4,180,3,0,0,marketing,medium
0.68,0,0.69,4,225,2,0,0,technical,low
0.63,0,0.77,5,210,3,0,0,RandD,medium
0.71,0,0.61,2,198,2,1,0,marketing,low
0.65,0,0.79,4,196,2,0,0,accounting,medium
0.61,0,0.97,3,199,3,1,0,accounting,high
0.63,0,0.7,5,160,3,0,0,management,high
0.63,0,0.7,5,160,3,0,0,management,high
0.71,0,0.53,3,186,2,0,0,technical,low
0.65,0,0.4,5,125,4,0,0,sales,low
0.65,0,0.4,5,125,4,0,0,sales,low
0.7,0,0.6,3,183,3,0,0,sales,low
0.69,0,0.73,3,231,2,1,0,management,high
0.69,0,0.73,3,231,2,1,0,management,high
0.64,0,0.67,5,167,2,0,0,sales,low
0.59,0,0.98,3,155,3,0,0,support,medium
0.67,0,0.83,3,260,3,0,0,technical,low
0.59,0,0.94,5,274,2,0,0,sales,high
0.58,0,0.91,5,185,2,0,0,support,low
0.61,0,0.87,4,151,3,0,0,hr,medium
0.66,0,0.8,4,252,3,0,0,IT,medium
0.71,0,0.56,3,198,3,0,0,sales,medium
0.6,0,0.99,3,187,2,0,0,RandD,low
0.54,1,0.83,6,165,6,0,0,support,low
0.66,0,0.68,4,152,3,0,0,marketing,high
0.63,0,0.82,5,275,3,1,0,sales,medium
0.69,0,0.65,4,232,2,1,0,sales,low
0.66,0,0.65,3,272,10,0,0,IT,medium
0.66,0,0.65,3,272,10,0,0,IT,medium
0.72,0,0.54,3,226,2,1,0,sales,low
0.61,0,0.51,6,163,6,0,0,technical,low
0.69,0,0.72,2,190,2,0,0,technical,medium
0.6,0,0.97,3,164,2,0,0,technical,low
0.65,0,0.6,5,160,3,0,0,technical,medium
0.66,0,0.7,4,161,3,0,0,RandD,low
0.63,0,0.9,4,245,3,0,0,technical,low
0.63,0,0.9,4,245,3,0,0,technical,low
0.69,0,0.75,3,253,3,0,0,management,high
0.69,0,0.75,3,253,3,0,0,management,high
0.69,0,0.67,4,274,4,0,0,accounting,medium
0.65,0,0.65,5,180,2,0,0,marketing,low
0.63,0,0.82,5,268,3,0,0,hr,high
0.65,0,0.42,6,220,2,0,0,product_mng,low
0.71,0,0.55,4,273,3,1,0,RandD,medium
0.68,0,0.61,3,134,4,0,0,sales,medium
0.69,0,0.63,4,217,3,0,0,technical,medium
0.66,0,0.85,3,266,5,0,0,sales,low
0.71,0,0.57,2,183,4,0,0,sales,low
0.64,0,0.66,5,157,2,0,0,product_mng,low
0.64,0,0.66,5,157,2,0,0,product_mng,low
0.63,0,0.85,4,182,3,1,0,sales,high
0.63,0,0.85,4,182,3,1,0,sales,high
0.69,0,0.67,3,178,2,0,0,hr,medium
0.62,0,0.75,5,165,4,0,0,sales,medium
0.62,0,0.75,5,165,4,0,0,sales,medium
0.68,0,0.78,3,232,3,0,0,sales,low
0.73,0,0.52,3,274,2,0,0,technical,high
0.66,0,0.75,4,200,4,0,0,accounting,medium
0.7,0,0.53,3,215,7,1,0,technical,medium
0.7,0,0.53,3,215,7,1,0,technical,medium
0.72,0,0.59,3,255,2,0,0,support,high
0.59,0,0.92,5,226,3,0,0,support,medium
0.72,0,0.6,3,265,2,1,0,sales,high
0.66,0,0.76,3,155,4,1,0,product_mng,low
0.67,0,0.51,5,182,3,0,0,management,low
0.6,0,0.85,5,187,4,0,0,technical,medium
0.67,0,0.57,5,215,4,0,0,technical,low
0.63,0,0.79,5,215,2,1,0,accounting,medium
0.69,0,0.56,4,178,3,0,0,support,medium
0.67,0,0.61,4,140,2,0,0,sales,low
0.59,0,0.98,4,198,3,0,0,product_mng,low
0.72,0,0.5,3,205,3,1,0,sales,low
0.69,0,0.66,3,215,6,0,0,sales,high
0.69,0,0.66,3,215,6,0,0,sales,high
0.64,0,0.66,5,163,4,0,0,marketing,medium
0.71,0,0.62,3,222,3,0,0,RandD,medium
0.66,0,0.7,5,254,2,0,0,IT,medium
0.64,0,0.78,4,159,4,0,0,management,medium
0.63,0,0.73,5,168,3,0,0,technical,low
0.61,0,0.58,6,146,3,0,0,sales,low
0.67,0,0.55,5,193,3,0,0,technical,low
0.63,0,0.91,4,252,3,1,0,support,medium
0.63,0,0.91,4,252,3,1,0,support,medium
0.61,0,0.86,4,153,5,0,0,IT,medium
0.59,0,0.93,4,146,3,0,0,technical,medium
0.63,0,0.83,4,159,2,0,0,marketing,low
0.68,0,0.74,4,263,2,1,0,technical,medium
0.73,0,0.49,3,248,3,0,0,sales,low
0.66,0,0.74,4,179,3,0,0,accounting,low
0.65,0,0.76,4,171,4,0,0,technical,low
0.67,0,0.64,5,248,3,0,0,support,medium
0.67,0,0.68,4,171,3,0,0,sales,low
0.67,0,0.68,4,171,3,0,0,sales,low
0.58,0,0.97,5,265,3,0,0,support,low
0.61,0,0.82,4,184,8,0,0,IT,low
0.61,0,0.82,4,184,8,0,0,IT,low
0.68,0,0.73,4,251,3,0,0,sales,low
0.67,0,0.61,4,145,4,0,0,hr,low
0.65,0,0.86,4,269,2,1,0,hr,medium
0.57,0,0.9,5,145,3,0,0,accounting,low
0.57,0,0.9,5,145,3,0,0,accounting,low
0.62,0,0.91,3,269,8,0,0,support,medium
0.62,0,0.91,3,269,8,0,0,support,medium
0.71,0,0.67,3,264,3,0,0,IT,medium
0.65,0,0.9,3,241,3,0,0,IT,low
0.65,0,0.86,4,267,2,0,0,support,medium
0.66,0,0.51,5,149,3,0,0,sales,medium
0.71,0,0.66,3,268,4,0,0,marketing,high
0.71,0,0.66,3,268,4,0,0,marketing,high
0.63,0,0.91,4,246,3,0,0,technical,medium
0.71,0,0.48,3,161,3,0,0,sales,low
0.64,0,0.5,6,254,6,0,0,RandD,medium
0.67,0,0.81,3,221,4,1,0,accounting,medium
0.65,0,0.82,4,207,2,0,0,support,low
0.67,0,0.77,4,242,3,0,0,marketing,medium
0.6,0,0.92,4,164,4,0,0,sales,medium
0.65,0,0.75,4,153,2,0,0,product_mng,medium
0.65,0,0.86,4,264,2,1,0,hr,low
0.72,0,0.5,3,257,6,0,0,IT,low
0.7,0,0.57,4,211,3,0,0,hr,high
0.65,0,0.84,4,247,4,0,0,accounting,high
0.66,0,0.64,5,208,4,0,0,RandD,medium
0.68,0,0.61,5,271,2,0,0,IT,high
0.66,0,0.82,4,257,3,1,0,sales,medium
0.69,0,0.6,3,139,2,0,0,marketing,low
0.67,0,0.72,4,192,3,1,0,support,medium
0.6,0,0.97,4,219,4,1,0,hr,low
0.66,0,0.84,3,211,4,0,0,RandD,high
0.59,1,1,2,160,5,0,0,product_mng,low
0.67,0,0.36,4,97,4,0,0,sales,medium
0.68,0,0.41,3,106,6,0,0,sales,low
0.73,0,0.51,3,244,2,0,0,sales,medium
0.65,0,0.83,4,218,3,0,0,hr,low
0.66,0,0.81,3,174,3,0,0,technical,low
0.66,0,0.81,3,174,3,0,0,technical,low
0.72,0,0.54,3,286,6,0,0,product_mng,medium
0.71,0,0.66,3,238,2,0,0,technical,low
0.65,0,0.86,4,256,2,0,0,support,medium
0.69,0,0.74,3,215,2,0,0,sales,low
0.66,0,0.49,5,235,8,1,0,sales,low
0.66,0,0.49,5,235,8,1,0,sales,low
0.59,0,0.95,5,254,2,0,0,technical,medium
0.7,0,0.59,4,216,3,0,0,accounting,low
0.7,0,0.58,4,207,2,1,0,sales,medium
0.7,0,0.7,3,224,3,0,0,sales,low
0.62,0,0.94,4,252,4,0,0,accounting,low
0.62,0,0.94,4,252,4,0,0,accounting,low
0.7,0,0.64,3,180,2,0,0,sales,low
0.67,0,0.65,5,242,3,0,0,support,low
0.66,0,0.83,4,266,3,1,0,technical,medium
0.68,0,0.69,3,148,2,0,0,IT,low
0.66,0,0.73,2,135,6,0,0,marketing,medium
0.57,0,0.96,5,203,4,0,0,sales,low
0.62,0,0.79,5,172,3,0,0,accounting,low
0.64,0,0.83,4,179,3,0,0,hr,low
0.71,0,0.69,3,274,3,0,0,support,medium
0.71,0,0.58,3,194,4,0,0,sales,low
0.65,0,0.85,4,233,2,0,0,support,low
0.65,0,0.81,4,192,3,0,0,accounting,low
0.67,0,0.49,5,161,2,0,0,sales,medium
0.66,0,0.77,4,188,2,0,0,technical,low
0.66,0,0.77,4,188,2,0,0,technical,low
0.68,0,0.59,4,147,2,0,0,marketing,medium
0.6,0,0.93,5,270,3,1,0,sales,low
0.73,0,0.41,2,231,6,1,0,sales,medium
0.69,0,0.53,4,156,3,0,0,support,low
0.58,0,0.91,3,195,10,0,0,support,low
0.58,0,0.91,3,195,10,0,0,support,low
0.61,0,0.97,4,256,4,0,0,technical,medium
0.59,1,1,2,155,5,0,0,sales,low
0.59,1,1,2,155,5,0,0,sales,low
0.65,0,0.87,4,267,2,0,0,technical,low
0.63,0,0.82,5,229,2,0,0,support,medium
0.67,0,0.64,4,149,4,0,0,technical,low
0.68,0,0.52,5,203,3,0,0,IT,low
0.53,1,0.95,6,205,4,0,0,marketing,low
0.7,0,0.49,4,173,3,0,0,sales,medium
0.68,0,0.75,4,258,3,0,0,management,high
0.68,0,0.75,4,258,3,0,0,management,high
0.62,0,0.95,3,189,4,0,0,RandD,low
0.69,0,0.65,3,153,2,0,0,marketing,medium
0.69,0,0.65,3,153,2,0,0,marketing,medium
0.68,0,0.68,3,143,3,0,0,sales,medium
0.65,0,0.82,4,196,2,0,0,IT,low
0.67,0,0.83,3,220,3,0,0,sales,low
0.69,0,0.36,5,269,6,1,0,marketing,medium
